dist=  30.7 cm | feature=0.1448 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=89.5% | 0 ms
dist=  31.3 cm | feature=0.1477 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=89.6% | 0 ms
dist=  31.7 cm | feature=0.1498 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=89.7% | 0 ms
dist=  32.0 cm | feature=0.1513 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=89.7% | 0 ms
dist=  32.5 cm | feature=0.1543 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=89.8% | 0 ms
dist=  32.9 cm | feature=0.1560 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=89.9% | 0 ms
dist=  33.3 cm | feature=0.1579 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=89.9% | 0 ms
dist=  33.6 cm | feature=0.1598 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.0% | 0 ms
dist=  34.2 cm | feature=0.1626 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.1% | 0 ms
dist=  34.7 cm | feature=0.1651 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.1% | 0 ms
dist=  35.3 cm | feature=0.1680 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.2% | 0 ms
dist=  35.5 cm | feature=0.1690 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.3% | 0 ms
dist=  35.6 cm | feature=0.1697 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.3% | 0 ms
dist=  35.9 cm | feature=0.1711 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.4% | 0 ms
dist=  36.1 cm | feature=0.1724 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.4% | 0 ms
dist=  36.3 cm | feature=0.1735 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.5% | 0 ms
dist=  36.9 cm | feature=0.1763 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.6% | 0 ms
dist=  37.7 cm | feature=0.1802 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.6% | 0 ms
dist=  38.2 cm | feature=0.1828 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.7% | 0 ms
dist=  38.9 cm | feature=0.1864 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.7% | 0 ms
dist=  39.4 cm | feature=0.1891 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.8% | 0 ms
dist=  40.1 cm | feature=0.1925 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.9% | 0 ms
dist=  40.6 cm | feature=0.1950 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=90.9% | 0 ms
dist=  41.1 cm | feature=0.1973 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.0% | 0 ms
dist=  41.4 cm | feature=0.1990 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.0% | 0 ms
dist=  41.9 cm | feature=0.2014 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.1% | 0 ms
dist=  42.3 cm | feature=0.2034 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.1% | 0 ms
dist=  42.8 cm | feature=0.2060 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.2% | 0 ms
dist=  43.3 cm | feature=0.2086 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.2% | 0 ms
dist=  43.7 cm | feature=0.2104 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.3% | 0 ms
